FUNDS_STI,AFRentFrequency,elapsed_seconds,threshold_seconds,passes_threshold,base_rent_before_timer,timer_weight,sti_rent_collected,ending_atom_sti,ending_FUNDS_STI
500.0,50.0,0.05,0.02,True,1.5,2.5,3.75,96.25,503.75
500.0,50.0,0.1,0.02,True,1.5,5.0,7.5,92.5,507.5
500.0,50.0,0.15,0.02,True,1.5,7.5,11.25,88.75,511.25
500.0,50.0,0.25,0.02,True,1.5,12.5,18.75,81.25,518.75
500.0,50.0,0.5,0.02,True,1.5,25.0,37.5,62.5,537.5
500.0,50.0,1.0,0.02,True,1.5,50.0,75.0,25.0,575.0
750.0,2.0,0.02,0.5,False,1.25,0.0,0.0,100.0,750.0
750.0,2.0,0.05,0.5,False,1.25,0.0,0.0,100.0,750.0
750.0,2.0,0.1,0.5,False,1.25,0.0,0.0,100.0,750.0
750.0,2.0,0.15,0.5,False,1.25,0.0,0.0,100.0,750.0
750.0,2.0,0.25,0.5,False,1.25,0.0,0.0,100.0,750.0
750.0,2.0,0.5,0.5,True,1.25,1.0,1.25,98.75,751.25
750.0,2.0,1.0,0.5,True,1.25,2.0,2.5,97.5,752.5
750.0,5.0,0.02,0.2,False,1.25,0.0,0.0,100.0,750.0
750.0,5.0,0.05,0.2,False,1.25,0.0,0.0,100.0,750.0
750.0,5.0,0.1,0.2,False,1.25,0.0,0.0,100.0,750.0
750.0,5.0,0.15,0.2,False,1.25,0.0,0.0,100.0,750.0
750.0,5.0,0.25,0.2,True,1.25,1.25,1.5625,98.4375,751.5625
750.0,5.0,0.5,0.2,True,1.25,2.5,3.125,96.875,753.125
750.0,5.0,1.0,0.2,True,1.25,5.0,6.25,93.75,756.25
750.0,10.0,0.02,0.1,False,1.25,0.0,0.0,100.0,750.0
750.0,10.0,0.05,0.1,False,1.25,0.0,0.0,100.0,750.0
750.0,10.0,0.1,0.1,True,1.25,1.0,1.25,98.75,751.25
750.0,10.0,0.15,0.1,True,1.25,1.5,1.875,98.125,751.875
750.0,10.0,0.25,0.1,True,1.25,2.5,3.125,96.875,753.125
750.0,10.0,0.5,0.1,True,1.25,5.0,6.25,93.75,756.25
750.0,10.0,1.0,0.1,True,1.25,10.0,12.5,87.5,762.5
750.0,20.0,0.02,0.05,False,1.25,0.0,0.0,100.0,750.0
750.0,20.0,0.05,0.05,True,1.25,1.0,1.25,98.75,751.25
750.0,20.0,0.1,0.05,True,1.25,2.0,2.5,97.5,752.5
750.0,20.0,0.15,0.05,True,1.25,3.0,3.75,96.25,753.75
750.0,20.0,0.25,0.05,True,1.25,5.0,6.25,93.75,756.25
750.0,20.0,0.5,0.05,True,1.25,10.0,12.5,87.5,762.5
750.0,20.0,1.0,0.05,True,1.25,20.0,25.0,75.0,775.0
750.0,50.0,0.02,0.02,True,1.25,1.0,1.25,98.75,751.25
750.0,50.0,0.05,0.02,True,1.25,2.5,3.125,96.875,753.125
750.0,50.0,0.1,0.02,True,1.25,5.0,6.25,93.75,756.25
750.0,50.0,0.15,0.02,True,1.25,7.5,9.375,90.625,759.375
750.0,50.0,0.25,0.02,True,1.25,12.5,15.625,84.375,765.625
750.0,50.0,0.5,0.02,True,1.25,25.0,31.25,68.75,781.25
750.0,50.0,1.0,0.02,True,1.25,50.0,62.5,37.5,812.5
900.0,2.0,0.02,0.5,False,1.1,0.0,0.0,100.0,900.0
